ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-L
0142003557;The Science of Harry Potter: How Magic Really Works;Roger Highfield;2003;Penguin Books;http://images.amazon.com/images/P/0142003557.01.LZZZZZZZ.jpg
0142003581;The Stone Carvers;Jane Urquhart;2003;Penguin Books;http://images.amazon.com/images/P/0142003581.01.LZZZZZZZ.jpg
014200362X;A Short History of a Small Place: A Novel;T. R. Pearson;2003;Penguin Books;http://images.amazon.com/images/P/014200362X.01.LZZZZZZZ.jpg
0142003654;My House in Umbria;William Trevor;2003;Penguin Books;http://images.amazon.com/images/P/0142003654.01.LZZZZZZZ.jpg
0142003697;Michelangelo and the Pope's Ceiling;Ross King;2003;Penguin Books;http://images.amazon.com/images/P/0142003697.01.LZZZZZZZ.jpg
0142003700;The Anxiety of Everyday Objects: A Novel;Aurelie Sheehan;2004;Penguin Books;http://images.amazon.com/images/P/0142003700.01.LZZZZZZZ.jpg
0142003727;Revenge of the Middle-Aged Woman;Elizabeth Buchan;2003;Penguin USA (Paper);http://images.amazon.com/images/P/0142003727.01.LZZZZZZZ.jpg
0142003735;Old Flames;John Lawton;2003;Penguin USA (Paper);http://images.amazon.com/images/P/0142003735.01.LZZZZZZZ.jpg
0142003786;Samurai William: The Englishman Who Opened Japan;Giles Milton;2003;Penguin Books;http://images.amazon.com/images/P/0142003786.01.LZZZZZZZ.jpg
0142003794;Dearest Dorothy, Are We There Yet? (Baumbich, Charlene Ann, Dearest Dorothy, Bk. 1.);Charlene Ann Baumbich;2004;Penguin Books;http://images.amazon.com/images/P/0142003794.01.LZZZZZZZ.jpg
0142003808;Drop City;T. Coraghessan Boyle;2004;Penguin USA (Paper);http://images.amazon.com/images/P/0142003808.01.LZZZZZZZ.jpg
0142003816;The Kitchen Boy;Robert Alexander;2004;Penguin Books;http://images.amazon.com/images/P/0142003816.01.LZZZZZZZ.jpg
0142003891;All over Creation;Ruth Ozeki;2004;Penguin Books;http://images.amazon.com/images/P/0142003891.01.LZZZZZZZ.jpg
0142004006;The Practical Writer: From Inspiration to Publication;Therese Eiben;2004;Penguin Books;http://images.amazon.com/images/P/0142004006.01.LZZZZZZZ.jpg
0142004030;Lost in a Good Book (Thursday Next Novels (Penguin Books));Jasper Fforde;2004;Penguin Books;http://images.amazon.com/images/P/0142004030.01.LZZZZZZZ.jpg
0142004049;Miss Julia Hits the Road (Southern Comedy of Manners);Ann B. Ross;2004;Penguin Books;http://images.amazon.com/images/P/0142004049.01.LZZZZZZZ.jpg
0142004065;Pictures from an Expedition;Diane Smith;2004;Penguin Books;http://images.amazon.com/images/P/0142004065.01.LZZZZZZZ.jpg
0142004073;Ride: A Novel;David Walton;2004;Penguin Books;http://images.amazon.com/images/P/0142004073.01.LZZZZZZZ.jpg
014200412X;White Mughals;William Dalrymple;2004;Penguin Books;http://images.amazon.com/images/P/014200412X.01.LZZZZZZZ.jpg
0142004170;The Chinese in America: A Narrative History;Iris Chang;2004;Penguin Books;http://images.amazon.com/images/P/0142004170.01.LZZZZZZZ.jpg
0142004189;Dearest Dorothy, Slow Down, You're Wearing Us Out (Baumbich, Charlene Ann, Dearest Dorothy, Bk. 2.);Charlene Ann Baumbich;2004;Penguin USA (Paper);http://images.amazon.com/images/P/0142004189.01.LZZZZZZZ.jpg
0142004227;Uniform Justice (Penguin Mysteries (Paperback));Donna Leon;2004;Penguin Books;http://images.amazon.com/images/P/0142004227.01.LZZZZZZZ.jpg
0142004235;East of Eden (Oprah's Book Club);John Steinbeck;2003;Penguin Books;http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg
0142004278;Big Fish;Daniel Wallace;2003;Penguin USA (Paper);http://images.amazon.com/images/P/0142004278.01.LZZZZZZZ.jpg
0142004294;The Gates of the Alamo;Stephen Harrigan;2003;Penguin USA (Paper);http://images.amazon.com/images/P/0142004294.01.LZZZZZZZ.jpg
0142004308;Dissolution;C. J. Sansom;2004;Penguin Books;http://images.amazon.com/images/P/0142004308.01.LZZZZZZZ.jpg
0142004324;Heart, You Bully, You Punk;Leah Hager Cohen;2004;Penguin Books;http://images.amazon.com/images/P/0142004324.01.LZZZZZZZ.jpg
0142004332;Maisie Dobbs: A Novel;Jacqueline Winspear;2004;Penguin USA (Paper);http://images.amazon.com/images/P/0142004332.01.LZZZZZZZ.jpg
0142004340;Every Inch of Her;Peter Sheridan;2004;Penguin Books;http://images.amazon.com/images/P/0142004340.01.LZZZZZZZ.jpg
0142004405;Birds, Beasts, and Relatives;Gerald Durrell;2004;Penguin Books;http://images.amazon.com/images/P/0142004405.01.LZZZZZZZ.jpg
0142004421;The Photograph;Penelope Lively;2004;Penguin Books;http://images.amazon.com/images/P/0142004421.01.LZZZZZZZ.jpg
014200443X;The Quality of Life Report;Meghan Daum;2004;Penguin Books;http://images.amazon.com/images/P/014200443X.01.LZZZZZZZ.jpg
0142004456;Voice of the Violin;Andrea Camilleri;2004;Penguin Books;http://images.amazon.com/images/P/0142004456.01.LZZZZZZZ.jpg
0142004545;The Rice Mother;Rani Manicka;2004;Penguin Books;http://images.amazon.com/images/P/0142004545.01.LZZZZZZZ.jpg
0142004618;My Lover's Lover;Maggie O'Farrell;2004;Penguin Books;http://images.amazon.com/images/P/0142004618.01.LZZZZZZZ.jpg
0142004634;The Widow Ginger;Pip Granger;2004;Penguin Books;http://images.amazon.com/images/P/0142004634.01.LZZZZZZZ.jpg
0142004677;Sex, Time, and Power: HOw Women's Sexuality Shaped Human Evolution;Leonard Shlain;2004;Penguin Books;http://images.amazon.com/images/P/0142004677.01.LZZZZZZZ.jpg
0142180009;The Confusions of Young TÃÂ¶rless;Robert Musil;2001;Penguin Books;http://images.amazon.com/images/P/0142180009.01.LZZZZZZZ.jpg
0142180017;The Four Feathers (Penguin Classics);A. E. W. Mason;2001;Penguin Books;http://images.amazon.com/images/P/0142180017.01.LZZZZZZZ.jpg
0142180033;The Thing on the Doorstep and Other Weird Stories;H. P. Lovecraft;2001;Penguin Books;http://images.amazon.com/images/P/0142180033.01.LZZZZZZZ.jpg
0142180041;Zazie in the Metro (Penguin Classics);Raymond Queneau;2001;Penguin Books;http://images.amazon.com/images/P/0142180041.01.LZZZZZZZ.jpg
0142180076;Young Lonigan (Penguin Classics);James T. Farrell;2003;Penguin Books;http://images.amazon.com/images/P/0142180076.01.LZZZZZZZ.jpg
0142180092;Nuns and Soldiers (Penguin Twentieth-Century Classics);Iris Murdoch;2002;Penguin Books;http://images.amazon.com/images/P/0142180092.01.LZZZZZZZ.jpg
0142180106;Captain Blood (Penguin Classics);Rafael Sabatini;2003;Penguin Books;http://images.amazon.com/images/P/0142180106.01.LZZZZZZZ.jpg
0142180114;The Black Prince (Penguin Classics);Iris Murdoch;2003;Penguin Books;http://images.amazon.com/images/P/0142180114.01.LZZZZZZZ.jpg
0142180149;Lucky Jim (Penguin Classics);Kingsley Amis;2002;Penguin Books;http://images.amazon.com/images/P/0142180149.01.LZZZZZZZ.jpg
0142196002;The Blessing of a Skinned Knee: Using Jewish Teachings to Raise Self-Reliant Children;Wendy Mogel;2001;Penguin Books;http://images.amazon.com/images/P/0142196002.01.LZZZZZZZ.jpg
0142196010;Spellcraft: Practical Spells for Modern Life;Ann-Marie Gallagher;2001;Penguin Books;http://images.amazon.com/images/P/0142196010.01.LZZZZZZZ.jpg
0142196037;How Psychic Are You? 76 Techniques to Boost Your Innate Power;Julie Soskin;2002;Penguin Books;http://images.amazon.com/images/P/0142196037.01.LZZZZZZZ.jpg
0142196053;Lunchtime Enlightenment: Meditations to Transform Your Life NOW--at Work, at Home, at Play;Pragito Dove;2002;Penguin Books;http://images.amazon.com/images/P/0142196053.01.LZZZZZZZ.jpg
0142196061;The Spiritual Activist: Practices to Transform Your Life, Your Work, and Your World;Claudia Horwitz;2002;Penguin Books;http://images.amazon.com/images/P/0142196061.01.LZZZZZZZ.jpg
014219607X;Live in a Better Way: Reflections on Truth, Love, and Happiness;Bstan-Dzin-Rgya-Mtsho;2002;Penguin Books;http://images.amazon.com/images/P/014219607X.01.LZZZZZZZ.jpg
0142196088;Breaking Faith: Can the Catholic Church Save Itself?;John Cornwell;2002;Penguin Books;http://images.amazon.com/images/P/0142196088.01.LZZZZZZZ.jpg
0142196118;The Woman Who Laughed at God: The Untold History of Jewish People;Johnathon Kirsch;2002;Penguin Books;http://images.amazon.com/images/P/0142196118.01.LZZZZZZZ.jpg
0142196126;Love Poems from God: Twelve Sacred Voices from the East and West;Daniel James Ladinsky;2002;Penguin Books;http://images.amazon.com/images/P/0142196126.01.LZZZZZZZ.jpg
0142196142;Healing Zen: Buddhist Wisdom on Compassion, Caring, and Caregiving - For Yourself and Others;Ellen, Ph.D., R. N. Birx;2003;Penguin Books;http://images.amazon.com/images/P/0142196142.01.LZZZZZZZ.jpg
0142196150;Thirty Days: On Retreat With the Exercises of St. Ignatius;Paul Mariani;2003;Penguin Books;http://images.amazon.com/images/P/0142196150.01.LZZZZZZZ.jpg
0142196185;The Indian Luck Book;Monisha Bharadwaj;2003;Compass Books;http://images.amazon.com/images/P/0142196185.01.LZZZZZZZ.jpg
0142196223;Dojo Wisdom: 100 Simple Ways to Become a Stronger, Calmer, More Courageous Person;Jennifer Lawler;2003;Penguin Books;http://images.amazon.com/images/P/0142196223.01.LZZZZZZZ.jpg
014219624X;The Magickal Life: A Wiccan Priestess Share Her Secrets;Vivianne Crowley;2003;Penguin Books;http://images.amazon.com/images/P/014219624X.01.LZZZZZZZ.jpg
0142196258;Reluctant Saint: The Life of Francis of Assisi;Donald Spoto;2003;Penguin Books;http://images.amazon.com/images/P/0142196258.01.LZZZZZZZ.jpg
0142196304;The Desert Pilgrim: En Route to Mysticism and Miracles;Mary Swander;2004;Compass Books;http://images.amazon.com/images/P/0142196304.01.LZZZZZZZ.jpg
0142300071;Pinkerton, Behave! (Picture Puffins);Steven Kellogg;2002;Puffin Books;http://images.amazon.com/images/P/0142300071.01.LZZZZZZZ.jpg
0142300128;The Very Noisy Night (Picture Puffins);Diana Hendry;2001;Puffin Books;http://images.amazon.com/images/P/0142300128.01.LZZZZZZZ.jpg
0142300268;Linnets and Valerians;Elizabeth Goudge;2001;Puffin Books;http://images.amazon.com/images/P/0142300268.01.LZZZZZZZ.jpg
0142300276;The Little White Horse;Elizabeth Goudge;2001;Puffin Books;http://images.amazon.com/images/P/0142300276.01.LZZZZZZZ.jpg
0142300306;Wolf Tower (Claidi Journals, 1);Tanith Lee;2001;Puffin Books;http://images.amazon.com/images/P/0142300306.01.LZZZZZZZ.jpg
0142300314;Don't Tell Anyone;Peg Kehret;2001;Puffin Books;http://images.amazon.com/images/P/0142300314.01.LZZZZZZZ.jpg
0142300330;The Girls;Amy Goldman Koss;2002;Puffin Books;http://images.amazon.com/images/P/0142300330.01.LZZZZZZZ.jpg
0142300349;The Book of the Lion;Michael Cadnum;2001;Puffin Books;http://images.amazon.com/images/P/0142300349.01.LZZZZZZZ.jpg
0142300357;Calling the Swan;Jean Thesman;2002;Puffin Books;http://images.amazon.com/images/P/0142300357.01.LZZZZZZZ.jpg
0142300373;A Midnight Clear: Family Christmas Stories;Katherine Paterson;2001;Puffin Books;http://images.amazon.com/images/P/0142300373.01.LZZZZZZZ.jpg
